# time, goalRoll, Torque, speed, roll, rollrate, steer, steerrate, intERoll, yaw, y, intELane
0.005,0,0,35.97892556028937,-6.658305997806943e-07,3.2826218054893275e-06,-0.00013319250776370724,4.062580977182862e-06,0,7.058619272487998e-07,0.0,0
0.01,0,0,0.058307094456185565,-1.93138866668942e-06,3.846865495482632e-06,-0.00025328484345825023,-2.4792603004704426e-06,0,7.072024652185368e-07,2.057837903255877e-10,0
0.015,0,0,0.1041462788751697,-3.248733918537482e-06,1.5358468985482432e-06,-0.00026380106227215903,-8.35183532184765e-06,0,7.081584311164753e-07,5.740463161448431e-10,0
0.02,0,0,0.15133593925461253,-4.544279849599637e-06,6.241871544077071e-07,-0.00025960372092010347,-5.650385432489244e-06,0,7.087229878880741e-07,1.1098954227152215e-09,0
0.025,0,0.2009270054612877,0.19930748355653163,-5.826423287538438e-06,2.612734508744552e-07,-0.0002570871422162631,-3.813660346708357e-06,1.1652846575076875e-07,7.090342093976267e-07,1.8161643989883538e-09,-3.6323287979767073e-11
0.030000000000000002,0,0.2009270054612877,0.2476966087954172,-4.978887522410962e-06,-0.00014456627117278288,0.0001619969433335617,-0.028001761258562824,1.1652846575076875e-07,4.950223907095019e-07,2.6942912449269396e-09,-3.6323287979767073e-11
0.035,0,0.2009270054612877,0.29629190707310094,-1.9896474040586418e-06,-0.00043391166360635806,0.0005807196645022156,-0.05592650686051134,1.1652846575076875e-07,-2.733501412215999e-07,3.4276468858629296e-09,-3.6323287979767073e-11
0.04,0,0.2009270054612877,4.250118105716683,1.9223791552827423e-05,-0.0026052708236276854,0.004180634552138305,-0.42700263812142086,1.1652846575076875e-07,-6.64499717622323e-05,-2.381205036167668e-09,-3.6323287979767073e-11
0.045,0,0.2009270054612877,4.107057006341644,4.484722291214856e-05,-0.005067575163722152,0.005040015462707334,-0.48329443219882295,1.1652846575076875e-07,-0.0001908388775827599,-1.3669503145183388e-06,-3.6323287979767073e-11
0.049999999999999996,0,-0.5561567479738073,4.130466531028798,7.248549473036831e-05,-0.0076546452172605774,0.005428177360040825,-0.5073570375003043,-1.3331814288565974e-06,-0.00037980105801742477,-5.308218273968645e-06,1.0612804219139313e-07
0.05499999999999999,0,-0.5561567479738073,4.150766743889512,9.380496638660138e-05,-0.009819476265608204,0.004189482897728877,-0.4257225802308397,-1.3331814288565974e-06,-0.000623395497746145,-1.3190546089029752e-05,1.0612804219139313e-07
0.05999999999999999,0,-0.5561567479738073,4.161720681043195,0.00010893950313302948,-0.01157450692662991,0.0029809668205395437,-0.3465576054880234,-1.3331814288565974e-06,-0.0009112852098913627,-2.6162534926026527e-05,1.0612804219139313e-07
0.06499999999999999,0,-0.5561567479738073,3.8704992578080257,0.00019337981840527842,-0.012895585794391283,0.01686002775862182,-0.25505395372987677,-1.3331814288565974e-06,-0.0012095890068654753,-4.3798176127813577e-05,1.0612804219139313e-07
0.06999999999999999,0,-0.5561567479738073,3.650142311130617,0.0002827496514306049,-0.012645850177480107,0.017975710260844338,0.04716238105064433,-1.3331814288565974e-06,-0.001485461593429549,-6.587403080978568e-05,1.0612804219139313e-07
0.075,0,-0.2671280088493354,5.335202024445484,0.00048668774224135884,-0.011984985931462671,0.041011250155151766,0.12384728146791252,-1.1066936273683775e-05,-0.0018676162144358043,-0.00010550020473912821,2.2161321369739574e-06
0.08,0,-0.2671280088493354,5.270262875748424,0.000688531724858282,-0.011211492780148484,0.040650043069925784,0.14294905185881893,-1.1066936273683775e-05,-0.002220755827803991,-0.00015471431813482547,2.2161321369739574e-06
0.085,0,-0.2671280088493354,5.23082117027611,0.0008651119686978547,-0.010182876115078137,0.035651784900303456,0.1888668409387955,-1.1066936273683775e-05,-0.002539095709524603,-0.00021279615338434292,2.2161321369739574e-06
0.09000000000000001,0,-0.2671280088493354,5.1905092324707445,0.001026578281950348,-0.00891007926420774,0.03265100505458573,0.23447712094655948,-1.1066936273683775e-05,-0.002815498391705203,-0.00027869208119110964,2.2161321369739574e-06
0.09500000000000001,0,0.2513597164097893,5.178647075170735,0.0012156301233035658,-0.007437577257128546,0.03813383325962883,0.2782806383246984,-3.537953873975509e-05,-0.0030456947890381758,-0.00035159434743135777,9.248019085601113e-06
0.10000000000000002,0,0.2513597164097893,5.10131927569996,0.001454482445869403,-0.00618114428597183,0.04822685736256453,0.2245308807768113,-3.537953873975509e-05,-0.003234147376448512,-0.0004292795350027004,9.248019085601113e-06
0.10500000000000002,0,0.2513597164097893,5.084915009001668,0.0016969040606689418,-0.005301897508940626,0.04884585879631194,0.15907139830839656,-3.537953873975509e-05,-0.0033952734203800323,-0.0005115062143371311,9.248019085601113e-06
0.11000000000000003,0,0.2513597164097893,5.824286359218684,0.001944211230296336,-0.004628068953503831,0.04977420480377081,0.12360941931671982,-3.537953873975509e-05,-0.0035563725737473234,-0.0006103812477076152,9.248019085601113e-06
0.11500000000000003,0,-0.32401697004037366,5.753763016972297,0.0022225230453393175,-0.0040486062374390465,0.05605490812041957,0.09927260455498457,-7.982999964654144e-05,-0.003695594689023752,-0.000712693656983399,2.3501892225269094e-05
0.12000000000000004,0,-0.32401697004037366,5.739826023267722,0.002535621444018097,-0.0031195532281640807,0.06305788549392992,0.16705142943667828,-7.982999964654144e-05,-0.003802608996870809,-0.0008187537684026406,2.3501892225269094e-05
0.12500000000000003,0,-0.32401697004037366,5.728111840492716,0.0028314940723783745,-0.0021023992663903998,0.059544878291485095,0.19026209345854433,-7.982999964654144e-05,-0.0038745832891066783,-0.0009276623540341972,2.3501892225269094e-05
