# time, goalRoll, Torque, speed, roll, rollrate, steer, steerrate, intE
2.029999999999979,0,-0.38809487185949676,2.9905858609572733,-0.006386859299827568,-0.07961506314323448,0.1983893122876801,0.6566743607845265,-0.0015274911376788997
2.034999999999979,0,-0.38809487185949676,3.0139773285277354,-0.005051764722567145,-0.07860002313508967,0.2124233964201635,0.7061168070117109,-0.0015274911376788997
2.0399999999999787,0,-0.38809487185949676,3.0467441872490917,-0.003691691014427639,-0.0774197404755818,0.21831558251984792,0.750859607987291,-0.0015274911376788997
2.0449999999999786,0,-0.38809487185949676,3.0704388962408116,-0.0023689784683080368,-0.07599831032338174,0.2127689996818446,0.7994596304962254,-0.0015274911376788997
2.0499999999999785,0,-0.38809487185949676,3.0941981183143614,-0.001083730510677529,-0.07433178961691908,0.20731913549837205,0.8487720371140728,-0.0015274911376788997
2.0549999999999784,0,-0.1347241435822959,3.1111882160269877,0.000131646203054789,-0.07239781416767026,0.19572054718472168,0.8981065926367502,-0.0015281493686941736
2.0599999999999783,0,-0.1347241435822959,3.1232384637959707,0.0012594059127296903,-0.07036183262048204,0.18074533668795048,0.9124027906739608,-0.0015281493686941736
2.064999999999978,0,-0.1347241435822959,3.1338377571720675,0.0022945021545769636,-0.068219154592157,0.16491076778860503,0.9267905526920337,-0.0015281493686941736
2.069999999999978,0,-0.1347241435822959,3.143381410143576,0.0032316017777208575,-0.06597058298374758,0.14812633253453497,0.9403957304940828,-0.0015281493686941736
2.074999999999978,0,-0.1347241435822959,3.087446166567449,0.004055662099404154,-0.06898818419162925,0.1288712621973227,-0.1428821219757303,-0.0015281493686941736
2.079999999999978,0,-1.5230201450345617,3.0933119477424147,0.004933657744576257,-0.07299526465025542,0.14179175972546457,-0.3626564641664575,-0.001552817657417055
2.0849999999999778,0,-1.5230201450345617,3.105580916302618,0.005858584138186886,-0.07624931043235375,0.15154562551445258,-0.2229550824212927,-0.001552817657417055
2.0899999999999777,0,-1.5230201450345617,3.0692905977056686,0.006152662319215697,-0.07758825719078873,0.03167983742064877,0.03471466921323911,-0.001552817657417055
2.0949999999999775,0,-1.5230201450345617,3.015283120730734,0.005550321866175667,-0.07729329113228757,-0.14059856818761374,0.21455549769716636,-0.001552817657417055
2.0999999999999774,0,-1.5230201450345617,2.965085902197798,0.00420231084255241,-0.07550376397892096,-0.2837169955056502,0.39268435257762574,-0.001552817657417055
