# time, goalRoll, leanTorque, roll, rollrate, lean, leanrate, intE
0.005,0,0,0.09999999999943544,-0.0,39.999999999774175,-0.0,-0.0004999999999971772
0.01,0,0,0.09999999999943544,6.002061312158564e-20,0.0,1.2004122624317128e-17,-0.0009999999999943544
0.015,0,0,0.09999999999943544,3.722489098022973e-18,0.0,7.324936969802775e-16,-0.0014999999999915315
0.02,0,0,0.09999999999943544,6.216244034488105e-18,0.0,4.987509872930265e-16,-0.0019999999999887087
0.025,0,0,0.09999999999943544,7.766225567253797e-18,0.0,3.099963065531384e-16,-0.002499999999985886
0.030000000000000002,0,0,0.09999999999943544,8.234490111043202e-18,0.0,9.365290875788085e-17,-0.002999999999983063
0.035,0,0,0.09999999999943544,1.1168513735815225e-17,0.0,5.868047249544047e-16,-0.0034999999999802403
0.04,0,0,0.09999999999943544,1.1053765722926309e-17,0.0,-2.2949602577783182e-17,-0.0039999999999774175
0.045,0,0,0.09999999999943544,9.31825437350579e-18,0.0,-3.4710226988410395e-16,-0.004499999999974595
0.049999999999999996,0,0,0.09999999999943544,8.246835666074611e-18,0.0,-2.1428374148623563e-16,-0.004999999999971772
0.05499999999999999,0,0,0.09999999999943544,8.35167177107761e-18,0.0,2.0967221000599683e-17,-0.005499999999968949
0.05999999999999999,0,0,0.09999999999943544,4.766110876172269e-18,0.0,-7.17112178981068e-16,-0.005999999999966126
0.06499999999999999,0,0,0.09999999999943544,6.936885006100289e-19,0.0,-8.14484475112448e-16,-0.006499999999963303
0.06999999999999999,0,0,0.09999999999943544,-3.553608550688928e-18,0.0,-8.494594102597914e-16,-0.0069999999999604805
0.075,0,0,0.09999999999943544,-7.797471035773057e-18,0.0,-8.487724970168257e-16,-0.007499999999957658
0.08,0,0,0.09999999999943544,-8.338912926608092e-18,0.0,-1.082883781670071e-16,-0.007999999999954835
0.085,0,0,0.09999999999943544,-9.955739966196587e-18,0.0,-3.2336540791769885e-16,-0.008499999999952011
0.09000000000000001,0,0,0.09999999999943544,-1.2927650073939201e-17,0.0,-5.9438202154852295e-16,-0.008999999999949188
0.09500000000000001,0,0,0.09999999999943544,-1.3844424387485955e-17,0.0,-1.8335486270935072e-16,-0.009499999999946364
0.10000000000000002,0,0,0.10026932437330037,-0.0002857423881088154,0.053864874772985294,-0.05714847762176031,-0.010001346621812866
0.10500000000000002,0,0,0.1008749196795863,-0.0009284377200240285,0.12111906125718552,-0.12853906638304263,-0.010505721220210798
0.11000000000000003,0,0,0.10169291711535915,-0.0017968840726650338,0.16359948715456984,-0.17368927052820105,-0.011014185805787594
0.11500000000000003,0,0,0.1026741407258874,-0.0028390844224069002,0.19624472210565125,-0.20844006994837327,-0.01152755650941703
0.12000000000000004,0,0,0.10379483815121372,-0.0040300166367680705,0.22413948506526393,-0.23818644287223406,-0.0120465307001731
0.12500000000000003,0,0,0.10503215734114792,-0.005345562508939177,0.2474638379868388,-0.2631091744342213,-0.012571691486878839
0.13000000000000003,0,0,0.1063661443962128,-0.006764623292715803,0.2667974110129756,-0.2838121567553252,-0.013103522208859903
0.13500000000000004,0,0,0.1077801269538178,-0.008269536836054074,0.2827965115210024,-0.30098270866765425,-0.01364242284362899
0.14000000000000004,0,0,0.10926076137124872,-0.009846144154199286,0.29612688348618355,-0.31532146362904245,-0.014188726650485234
0.14500000000000005,0,0,0.11079788578536776,-0.011483651737326519,0.3074248828238063,-0.3275015166254464,-0.014742716079412072
0.15000000000000005,0,0,0.11238457329086984,-0.013174704749653116,0.3173375011004176,-0.33821060246531953,-0.01530463894586642
0.15500000000000005,0,0,0.1140180100135809,-0.014916373929130155,0.32668734454221193,-0.34833383589540773,-0.015874728995934326
0.16000000000000006,0,0,0.11569635778143843,-0.016706783447509338,0.33566955357150485,-0.3580819036758366,-0.016453210784841518
0.16500000000000006,0,0,0.117418683526515,-0.01854503049692007,0.34446514901531333,-0.3676494098821467,-0.017040304202474092
0.17000000000000007,0,0,0.1191847859214174,-0.020431004792476806,0.3532204789804816,-0.37719485911134676,-0.01763622813208118
0.17500000000000007,0,0,0.1209951157504659,-0.022365307096936883,0.3620659658096992,-0.3868604608920155,-0.018241203710833508
0.18000000000000008,0,0,0.12285069133761728,-0.024349161466816323,0.37111511743027625,-0.39677087397588795,-0.018855457167521593
0.18500000000000008,0,0,0.12475301043023414,-0.02638432269586479,0.38046381852337163,-0.40703224580969366,-0.019479222219672764
0.19000000000000009,0,0,0.12670396152461721,-0.028472982204381714,0.3901902188766154,-0.41773190170338453,-0.02011274202729585
0.1950000000000001,0,0,0.12870573737219698,-0.03061767540350339,0.4003551695159535,-0.4289386398243354,-0.020756270714156835
0.2000000000000001,0,0,0.13076075303677276,-0.0328211931985472,0.41100313291515533,-0.4407035590087614,-0.021410074479340697
0.2050000000000001,0,0,0.13287157043280443,-0.03508649984107845,0.42216347920633335,-0.4530613285062504,-0.022074432331504718
0.2100000000000001,0,0,0.13504083080505425,-0.03741665884310484,0.4338520744499641,-0.46603180040527825,-0.022749636485529988
0.2150000000000001,0,0,0.1372711961443468,-0.039814768166542,0.4460730678585101,-0.4796218646874323,-0.02343599246625172
0.2200000000000001,0,0,0.13956530009682916,-0.04228390542441535,0.4588207904964725,-0.4938274515746688,-0.024133818966735866
0.22500000000000012,0,0,0.14192570853090775,-0.04482708339607074,0.4720816868157174,-0.5086355943310791,-0.024843447509390406
0.23000000000000012,0,0,0.14435430338971034,-0.04744673288982388,0.48571897176051815,-0.5239298987506275,-0.02556521902633896
