# time, goalRoll, leanTorque, roll, rollrate, lean, leanrate
0.001,0,-0.007432301104398642,2.6947883975371478e-09,-9.750646716710776e-06,0.0,0.0
0.002,0,0.006220669271669832,2.9355092762615907e-08,-9.80007520499248e-06,2.666030436507876e-05,-4.942848828170358e-05
0.003,0,-0.0018780606481239547,3.32918096497878e-08,-9.794793944531126e-06,3.9367168871718925e-06,5.281260461353405e-06
0.004,0,-0.001711308235280015,4.5404704861552263e-08,-9.819266752754922e-06,1.2112895211764464e-05,-2.4472808223796244e-05
0.005,0,-0.00018765152842471766,5.986841320513458e-08,-9.847030996752824e-06,1.4463708343582314e-05,-2.7764243997901338e-05
0.006,0,-0.0004313695957217827,7.321532766558222e-08,-9.871648523399214e-06,1.3346914460447638e-05,-2.4617526646390314e-05
0.007,0,0.00020926085601608545,8.843868213098142e-08,-9.901006896621751e-06,1.5223354465399198e-05,-2.9358373222537334e-05
0.008,0,0.0008617309921529273,1.047234500147945e-07,-9.932054916455664e-06,1.628476788381308e-05,-3.104801983391327e-05
0.009000000000000001,0,-0.011019437507936339,9.740593482940712e-08,-9.918724823944431e-06,-7.3175151853873754e-06,1.3330092511233343e-05
0.010000000000000002,0,-0.009773301577731076,9.803118872031255e-08,-9.930260059886227e-06,6.252538909054276e-07,-1.1535235941795429e-05
0.011000000000000003,0,-0.018227574331204706,7.856375833758181e-08,-9.897886264582949e-06,-1.9467430382730734e-05,3.2373795303277414e-05
0.012000000000000004,0,-0.030564592804051865,3.882865647086364e-08,-9.834849789751308e-06,-3.973510186671817e-05,6.303647483164155e-05
0.013000000000000005,0,-0.03715264388126787,-1.0505590302705451e-08,-9.759721415145675e-06,-4.9334246773569094e-05,7.51283746056321e-05
0.014000000000000005,0,-0.04458450997877579,-7.497438821863348e-08,-9.65495256025302e-06,-6.446879791592804e-05,0.00010476885489265597
0.015000000000000006,0,-0.05293088347496819,-1.5334029773145132e-07,-9.528319405372876e-06,-7.836590951281783e-05,0.00012663315488014386
0.016000000000000007,0,-0.07126163355286165,-2.589416889180786e-07,-9.366371310709354e-06,-0.00010560139118662725,0.00016194809466352184
0.017000000000000008,0,-0.07471838866479454,-3.5933218359538137e-07,-9.235306359830075e-06,-0.0001003904946773028,0.0001310649508792791
0.01800000000000001,0,-0.07598533751594827,-4.5993018484538996e-07,-9.107118071554422e-06,-0.00010059800125000859,0.00012818828827565308
0.01900000000000001,0,-0.07866310208362925,-5.598775411996972e-07,-8.990074004051063e-06,-9.994735635430724e-05,0.00011704406750335841
0.02000000000000001,0,-0.08114008691048516,-6.544538617012362e-07,-8.900914432151224e-06,-9.457632050153899e-05,8.915957189983943e-05
0.02100000000000001,0,-0.08459315828770247,-7.434660380195992e-07,-8.84387485481693e-06,-8.901217631836298e-05,5.703957733429377e-05
0.022000000000000013,0,-0.08608214743243768,-8.217063369798981e-07,-8.831133800077728e-06,-7.824029896029895e-05,1.2741054739202217e-05
0.023000000000000013,0,-0.08605253032281317,-8.869953088157508e-07,-8.865294098383693e-06,-6.52889718358527e-05,-3.416029830596546e-05
0.024000000000000014,0,-0.0858349858354609,-9.387018280504968e-07,-8.948052467095384e-06,-5.1706519234745975e-05,-8.275836871169068e-05
0.025000000000000015,0,-0.0864460135205921,-9.769911234585589e-07,-9.081832478579354e-06,-3.8289295408062086e-05,-0.00013378001148396995
0.026000000000000016,0,-0.08603651115784275,-9.98840782589264e-07,-9.274175687513909e-06,-2.184965913070521e-05,-0.00019234320893455503
0.027000000000000017,0,-0.0856658069217729,-1.004519233193971e-06,-9.524278359697807e-06,-5.6784506047069565e-06,-0.00025010267218389837
0.028000000000000018,0,-0.08527002977854105,-9.933992848738104e-07,-9.834422794054542e-06,1.1119948320160593e-05,-0.00031014443435673454
0.02900000000000002,0,-0.084917406997605,-9.652099395333644e-07,-1.0205820032959646e-05,2.8189345340446043e-05,-0.0003713972389051037
0.03000000000000002,0,-0.08467535878009516,-9.198759018604079e-07,-1.0639199892613093e-05,4.533403767295648e-05,-0.0004333798596534476
0.03100000000000002,0,-0.08456822553570975,-8.574185481694687e-07,-1.11350209642903e-05,6.24573536909392e-05,-0.0004958210716772074
0.03200000000000002,0,-0.08455386544581492,-7.778630002103753e-07,-1.1693574116629178e-05,7.955554795909344e-05,-0.000558553152338877
0.03300000000000002,0,-0.1164005665895127,-7.453279965360621e-07,-1.219250738088797e-05,3.253500367431322e-05,-0.0004989332642587923
